Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Standardized Track Name,Pianist,Sonata,Movement,LastName,Track Name Combined
spotify:track:0Rw3g5Ayoyj4Uc83ZhF2Ep,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto",Beethoven: Complete Piano Sonatas & Concertos,Ludwig van Beethoven;Alfred Brendel,2010-01-01,451240,19,False,mikaylab.,2026-02-15T23:29:27Z,"klassiek,klassieke piano,kamermuziek,concerto",Decca Music Group Ltd.,0.277,0.16,9,-19.648,1,0.0477,0.994,0.914,0.1,0.0697,79.188,4,"""Moonlight"", III.",Alfred Brendel,Moonlight,III,Brendel,Moonlight III - Brendel
spotify:track:2OQzVmgl8WoNEYDdOLSEOf,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": III. Presto agitato",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,461400,47,False,mikaylab.,2026-02-15T23:09:46Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.287,0.0855,6,-24.19,0,0.0481,0.992,0.888,0.105,0.114,156.795,4,"""Moonlight"", III.",Daniel Barenboim,Moonlight,III,Barenboim,Moonlight III - Barenboim
spotify:track:29ch6MRaCW6TBsDWB1uQ23,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,425920,3,False,mikaylab.,2026-02-15T23:33:58Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.331,0.238,9,-19.798,1,0.0408,0.979,0.873,0.0905,0.11,83.909,4,"""Moonlight"", III.",Rudolf Buchbinder,Moonlight,III,Buchbinder,Moonlight III - Buchbinder
spotify:track:6xz5xb3PsKLJxHj7zmWSYJ,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Louis Lortie,1993-09-01,455106,24,False,mikaylab.,2026-02-15T23:19:34Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Chandos,0.257,0.193,6,-22.581,0,0.046,0.985,0.901,0.102,0.0625,76.059,4,"""Moonlight"", III.",Louis Lortie,Moonlight,III,Lortie,Moonlight III - Lortie
spotify:track:4Nfve8hExSy7isIt1KhmJ0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": III. Presto agitato","Beethoven: Piano Sonatas Nos.8, 14, 21 & 22",Ludwig van Beethoven;Wilhelm Kempff,1995-01-01,330000,9,False,mikaylab.,2026-02-18T15:06:29Z,"klassiek,klassieke piano,kamermuziek",Deutsche Grammophon (DG),0.283,0.19,6,-18.562,0,0.0421,0.991,0.894,0.112,0.127,77.579,4,"""Moonlight"", III.",Wilhelm Kempff,Moonlight,III,Kempff,Moonlight III - Kempff
spotify:track:789rUzWCwg4VEMtkpbiAJw,"Sonata no. 14 in C-sharp minor, op. 27, no. 2 [Sonata quasi una Fantasia] [Moonlight]: Presto agitato",Beethoven: The Complete Sonatas,Ludwig van Beethoven;Richard Goode,1993,420733,4,False,mikaylab.,2026-02-15T23:21:19Z,"klassiek,klassieke piano,kamermuziek",Nonesuch,0.275,0.088,6,-25.273,0,0.0451,0.99,0.915,0.096,0.156,169.272,4,"""Moonlight"", III.",Richard Goode,Moonlight,III,Goode,Moonlight III - Goode
spotify:track:21gJ6kvGt85jKn70w6Zdwq,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Stephen Kovacevich,2003-08-10,430373,3,False,mikaylab.,2026-02-15T23:22:25Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.298,0.237,6,-21.656,0,0.0368,0.977,0.899,0.11,0.0706,81.127,4,"""Moonlight"", III.",Stephen Kovacevich,Moonlight,III,Kovacevich,Moonlight III - Kovacevich
spotify:track:6CmUJH2eRejvNhNNf3Aac0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato","Beethoven: Piano Sonatas, Vol. 3",Ludwig van Beethoven;Paul Lewis,2007-09-25,458280,41,False,mikaylab.,2026-02-15T23:23:22Z,"klassiek,klassieke piano,kamermuziek",harmonia mundi,0.319,0.204,6,-16.632,0,0.0422,0.99,0.903,0.11,0.0579,157.483,4,"""Moonlight"", III.",Paul Lewis,Moonlight,III,Lewis,Moonlight III - Lewis
spotify:track:4E7Dwrvvz01o0nppLJ2DXW,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato","Beethoven: Moonlight, Pathétique & Waldstein Sonatas",Ludwig van Beethoven;Steven Osborne,2010-05-01,446480,7,False,mikaylab.,2026-02-15T23:35:53Z,"klassiek,klassieke piano,kamermuziek,impressionisme",Hyperion,0.27,0.143,1,-21.496,0,0.0484,0.987,0.889,0.0923,0.0596,171.897,4,"""Moonlight"", III.",Steven Osborne,Moonlight,III,Osborne,Moonlight III - Osborne
spotify:track:110KW9E2FJlXN5AXNZrwK7,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": III. Presto agitato",Beethoven: The Complete Piano Sonatas,Ludwig van Beethoven;Igor Levit,2019-09-13,411963,38,False,mikaylab.,2026-02-15T23:25:26Z,"klassiek,klassieke piano,kamermuziek",Sony Classical,0.288,0.114,6,-23.544,0,0.047,0.992,0.932,0.0899,0.0819,86.591,4,"""Moonlight"", III.",Igor Levit,Moonlight,III,Levit,Moonlight III - Levit
spotify:track:5eGcRBFMufsKPk6oMqnX3Z,"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2, ""Moonlight"": III. Presto agitato",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Fazıl Say,2020-01-17,422493,6,False,mikaylab.,2026-02-15T23:26:14Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.334,0.143,6,-21.067,0,0.0434,0.994,0.915,0.0888,0.172,158.707,4,"""Moonlight"", III.",Fazıl Say,Moonlight,III,Say,Moonlight III - Say
spotify:track:6zkg0POdXhxWXUrvhIpUjN,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 “Moonlight”: III. Presto agitato",Beethoven: The Complete Piano Sonatas Nos. 1-32,Ludwig van Beethoven;David Korevaar,2026-01-30,472686,3,False,mikaylab.,2026-02-15T23:27:16Z,"klassiek,klassieke piano,kamermuziek",Prospero Classical,0.32,0.148,6,-21.859,0,0.0389,0.988,0.897,0.103,0.114,149.542,4,"""Moonlight"", III.",David Korevaar,Moonlight,III,Korevaar,Moonlight III - Korevaar
